t,H,F,I,unsatisfied_clauses,assignment_entropy
104,0.007642479916984853,0.21793415462035715,0.87446111373774,2,0.8186087846989822
105,0.00758993496592002,0.22355191123435517,0.8631079530254671,1,0.812753427929286
106,0.007544246700425157,0.2273937153690425,0.8527309972781354,1,0.8093864887626451
107,0.007549198258618235,0.2309137880247678,0.8324125011846535,1,0.8062581507380848
108,0.007565554714997447,0.2325847397442904,0.8127055570811393,1,0.8041104981081004
109,0.007623195123552044,0.2343501004403309,0.7972698964360906,1,0.8025943383583868
110,0.007557180241418665,0.2384928398779802,0.7803093210823074,1,0.7978171924442206
111,0.007481200939913894,0.23941591943812662,0.7645983810293864,1,0.7950120238617064
112,0.0073869514076172664,0.24034056571213877,0.7489160971803785,1,0.7925511983169796
113,0.00728358829282879,0.24094103342784387,0.7375914164098831,1,0.7910956463837273
114,0.007240333856059142,0.24167509632014264,0.7292132266334181,1,0.7890590931993309
115,0.007121638189765327,0.24497958220424523,0.7232457399144243,1,0.7850910475421914
116,0.00701002791255191,0.24860027367570806,0.718892425643562,1,0.7820918728211759
117,0.006853897705265372,0.24907984517404463,0.7259300894774037,1,0.7815631265147588
118,0.006673460369879251,0.2503021818162834,0.7290570451650775,1,0.7788909397692899
119,0.006589101097411039,0.2505288623365575,0.7300248402475988,1,0.777434421476681
120,0.006539333004405771,0.2485558299118572,0.7339320965739691,1,0.77814211489156
121,0.006480252459195725,0.24917068150756827,0.73705646603072,1,0.7770487715249785
122,0.006437897003687198,0.24680568328136013,0.745069025191867,1,0.7780877558477511
123,0.006400398688944609,0.24315008444791786,0.7583321954624611,1,0.7812176941044048
124,0.006368890499889827,0.24139997931046853,0.768075638021404,1,0.7821754091401519
125,0.006370841397371381,0.23857090864272978,0.7827895137514214,1,0.7851791205048434
126,0.006407333393552562,0.23345554817382658,0.8015786951152004,1,0.7904632051278265
127,0.006408769460928419,0.23124902717615842,0.8159432065478094,1,0.7934057197619697
128,0.006404202095352255,0.23223823971768257,0.8295280743626008,1,0.7927649638480501
129,0.00645135411266272,0.23488635735876834,0.8337202878968037,1,0.791358696883566
130,0.0064769226636450065,0.23674096743121065,0.8266340960978427,1,0.7905050228498527
131,0.006574995141185418,0.23402582782171016,0.8217697161425901,2,0.7938003792373097
132,0.006704019549695122,0.23450972317664243,0.8140016567217829,2,0.7948492947371167
133,0.006781796339763692,0.23465194523686048,0.8067150759641544,1,0.7965217040048594
134,0.006847362811117479,0.23224277594906342,0.8061955317711204,1,0.7993106216911455
135,0.006885903372499465,0.22854487858033284,0.8072379097815567,1,0.8027080878615279
136,0.0068316243804712115,0.22790019148073534,0.8104513313165241,1,0.8035258781825523
137,0.006746216126094457,0.226128271613401,0.8204065511089158,1,0.8049260392823224
138,0.0066691138086520454,0.22084972213879805,0.8340350386946095,1,0.8088667341478611
139,0.006640110142146376,0.2185863586502638,0.8455480379940762,1,0.8110489432307898
140,0.006614629420401269,0.2187481269894914,0.8502983608722816,1,0.8113459437002406
141,0.006690711410984744,0.21626887255027638,0.8563345953727537,1,0.8142441950603307
142,0.006731425813054178,0.216336976821419,0.8642233829912274,1,0.8150373242554915
143,0.006829233087444703,0.21479631609702018,0.8692151911903989,1,0.8168651614556495
144,0.0068317220818412076,0.21169533394163553,0.8736388200908813,1,0.8195597216648326
145,0.006879865074489994,0.20884100649651485,0.8767074295629655,1,0.8225442546040598
146,0.0068562579921165176,0.20544937314649567,0.8783872833865285,1,0.8253182483770412
147,0.006835321683922845,0.20332043862794608,0.8797886229538945,1,0.8275161301498444
148,0.006799451105420161,0.20328685141225544,0.8813993112398235,1,0.8276824545276669
149,0.006705125047723985,0.20500815904463887,0.8784012530026821,1,0.8260836170546735
150,0.0066321507573611285,0.20685933619383393,0.8769337582581538,1,0.8246429319153125
151,0.006636914815735768,0.20724021651460678,0.8800823993976272,1,0.8246300466503891
152,0.006677549900521789,0.2068578832263208,0.883888957499558,1,0.8257057342974584
153,0.00674409813837161,0.20721535574654576,0.887934088163763,1,0.8262131430933731
154,0.006809226992449203,0.20905509262321345,0.8910514967719613,1,0.8258685131791473
155,0.0068768885723653195,0.20938336946580285,0.8922531265939564,1,0.8261910859885004
156,0.006935996787878035,0.2105048394447653,0.8912608292451546,1,0.8261165718598328
