t,H,F,I,unsatisfied_clauses,assignment_entropy
53,0.006981939438279694,0.18511278004284892,0.8502769888463046,1,0.8511302760821534
54,0.006902268087514072,0.1896155533011766,0.8460314724011428,1,0.8480609754170759
55,0.006848558207042294,0.19182890664826588,0.8454749920488335,1,0.8466452530628555
56,0.006824679588966324,0.19335063268659583,0.8436399150222358,1,0.8452859774904051
57,0.00683483987180291,0.1968666171155414,0.8403964971677768,1,0.8426030702523303
58,0.0068104021755114805,0.19931619300530634,0.837076895594018,1,0.8403380938909697
59,0.006762581049847595,0.20166406042040272,0.835338456600103,1,0.8381834504921841
60,0.006633775775274639,0.20728076933681386,0.8323440492183808,1,0.8331466395303667
61,0.006580407483484882,0.20983356334971104,0.8331000403125458,1,0.831505904265518
62,0.006545209764427625,0.2091904947578465,0.8402063578498389,1,0.8325740449568435
63,0.006574533185057037,0.2047976597650569,0.8501984339343907,1,0.836246239290491
64,0.006606456504524297,0.19948441534676004,0.8570132317890164,1,0.840018528908781
65,0.006645167035053494,0.19500157868769227,0.8623881364557138,1,0.8434140810691843
66,0.006623799617515852,0.19321094137807296,0.8653211141481703,1,0.8443333564804646
67,0.006608230350700431,0.19335085680538022,0.8643762523712717,1,0.84367307551257
68,0.006645407363335563,0.19008683096627282,0.8663300154450337,1,0.8458119152132009
69,0.006677556434771223,0.18765121920233305,0.8659055045222264,1,0.8474411173441091
70,0.006698793147636086,0.18783215522343719,0.8648133472105048,1,0.8477028361346147
71,0.006705705574017647,0.18732662374692205,0.865766462961169,1,0.8479721300409148
72,0.0067402675055054755,0.18492985309397372,0.8687990198769374,1,0.8500199673882247
73,0.006752808327358152,0.1823323099528212,0.8749444899187391,1,0.8522261307900826
74,0.006796725683029129,0.18047956151293307,0.879109180162251,1,0.8541057463762561
75,0.006843968465201071,0.17991925340278356,0.8821442255936245,1,0.855090756372692
76,0.006865764308699639,0.18049593817794354,0.882994210835529,1,0.8551314970877636
77,0.00684077562665949,0.18218258307657503,0.8813897966391842,2,0.8529282917430436
78,0.0067971933955616745,0.18242185950888032,0.880407165899183,2,0.8516847099215809
79,0.00673674663490529,0.1847513896919982,0.8794839524010467,2,0.849219903090198
80,0.006663422507179534,0.18853875843504808,0.8771088365835003,1,0.8459681511594679
81,0.00667264825610204,0.1895212576882033,0.8761536504966501,1,0.8455835804073405
82,0.006654936899262545,0.19257970755048992,0.8742964323635491,1,0.8437355192674842
83,0.006582132003407727,0.1988795276504939,0.8699243120458313,1,0.8391716373713686
84,0.006548029238321614,0.2037148576851066,0.8682407273685644,1,0.835979633291887
85,0.006511391387076852,0.2046428715087032,0.8707957160720491,1,0.8351266741593961
86,0.0064896821260046434,0.2039354026074138,0.8734096291849189,1,0.8353981163498527
87,0.006450788951328472,0.2037374029337758,0.8756869505432326,1,0.8357111519994149
88,0.006394987626773118,0.20428288277002796,0.8794603146800208,1,0.8350498790776122
89,0.00633151758119107,0.20398935349326736,0.8820753887214913,1,0.8349913343648778
90,0.006261528148694931,0.20583746452002605,0.8804029533690378,1,0.8329275388583881
91,0.006265029720000192,0.20492919991291578,0.8788533809741561,1,0.8329531279492843
92,0.006257041645384913,0.20379519202929075,0.8782087323842365,1,0.8332100041161001
93,0.0062855509272924355,0.20147991270223983,0.8767083395314552,1,0.8349625376624101
94,0.0063920415446656245,0.19680266553906217,0.8783538539608162,1,0.8391612440891302
95,0.0064842742673742945,0.1942412354551348,0.8807828768645953,1,0.8416036619507163
96,0.006602518370030138,0.1918729346742657,0.8813688528821066,2,0.8439341126745874
97,0.006665526345818931,0.18965561054536173,0.8829118265222851,2,0.8457435853790997
98,0.006684220137278372,0.18846365866476264,0.8835839102508078,2,0.8466608456530944
99,0.006679356821821469,0.18735567881831885,0.8845932263162709,2,0.8473090584460587
100,0.006634385842997587,0.1883754858727118,0.8847468538203367,2,0.8462495385140933
101,0.006576828564719299,0.18919132973336744,0.8866415745809964,2,0.8453064111853401
102,0.006523073335083899,0.18917867585063483,0.8912740448661209,2,0.8447840445646875
103,0.00643320516623184,0.18930060747115893,0.8955055181407612,2,0.8439152168520917
104,0.006354779395166308,0.18960115826222623,0.9005313258502659,1,0.8426721888087202
105,0.0063011452586659335,0.19092998270301406,0.9016986966718654,1,0.8408700808494584
106,0.006280444269144003,0.19233079762615757,0.9013869726848096,1,0.839774782896318
107,0.006274966434678024,0.19318945092808382,0.8997782740335192,1,0.83899210682217
108,0.006305299576879288,0.19222621332242137,0.8962248047493824,1,0.8393708294029844
109,0.006364723735033533,0.19067473159442075,0.8914770603461557,1,0.8406436364075645
110,0.0063712937602723625,0.19123440379847562,0.8860875657636752,1,0.8395588499791397
