runner_id,birth_t,death_t,lifetime,path_length,unique_nodes,path_novelty,revisit_rate,runner_mass,mass_density,loop_score,escape_score,mean_intensity,peak_intensity,bridge_score,collapse_contribution,classification,path
11,0,8,9,9,3,0.3333333333333333,0.6666666666666667,0.46004861512383355,0.15334953837461118,0.08864010621372319,0.032282214849088074,0.05111651279153706,0.06715622044422603,0.1851783756833406,0.022991111623499032,diffuse_runner,clause:89 -> variable:27 -> clause:78
12,0,8,9,8,5,0.625,0.375,0.37989392463532157,0.07597878492706431,0.02648011721679109,0.06570929421028972,0.047486740579415196,0.05159615414099618,0.2030417606872124,0.017799246719618106,diffuse_runner,clause:66 -> variable:30 -> clause:14 -> clause:82 -> clause:130
13,0,8,9,7,3,0.42857142857142855,0.5714285714285714,0.3094701907513765,0.10315673025045884,0.053434567712675816,0.03413873939087894,0.04421002725019664,0.051776152790544074,0.1560114902644065,0.010584562994146519,diffuse_runner,clause:93 -> clause:90 -> clause:29
14,0,13,14,12,4,0.3333333333333333,0.6666666666666667,0.646431136169171,0.16160778404229276,0.09274948409861829,0.05256321090665548,0.05386926134743092,0.0675378031209663,0.27466133292701644,0.0741238893713082,exploratory_runner,variable:29 -> clause:5 -> clause:73 -> clause:43
15,0,13,14,12,7,0.5833333333333334,0.41666666666666663,0.5735384464079718,0.0819340637725674,0.031553857468477046,0.07707354169864343,0.04779487053399765,0.05759042989317117,0.24814259809622188,0.03246025671156389,diffuse_runner,clause:25 -> variable:30 -> clause:26 -> clause:24 -> clause:111 -> clause:43 -> clause:63
16,0,13,14,14,4,0.2857142857142857,0.7142857142857143,0.7610531579018596,0.1902632894754649,0.11417839298834684,0.03190843968879056,0.05436093985013283,0.06464390886015242,0.21774578863783026,0.012889547069587885,diffuse_runner,variable:27 -> clause:78 -> variable:15 -> variable:11
17,0,14,15,15,6,0.4,0.6,0.7930360980182143,0.13217268300303572,0.07004550718488657,0.06103079508527805,0.052869073201214284,0.07011818227592603,0.2556432762579676,0.09683551997366391,exploratory_runner,variable:8 -> clause:84 -> clause:130 -> variable:23 -> clause:73 -> clause:63
18,0,17,18,16,9,0.5625,0.4375,0.9855758567994143,0.10950842853326825,0.04318122895798109,0.09479710793521431,0.06159849104996339,0.11030941311459702,0.3143490667618977,0.0361179965343316,exploratory_runner,clause:75 -> variable:22 -> clause:124 -> clause:102 -> clause:135 -> clause:70 -> clause:78 -> clause:84 -> clause:55
19,0,18,19,19,4,0.21052631578947367,0.7894736842105263,1.0262356059738023,0.25655890149345056,0.16119141007899312,0.031278790023928874,0.054012400314410645,0.07924964247130661,0.24442919924056933,0.10784166979753557,diffuse_runner,variable:7 -> clause:51 -> clause:78 -> clause:84
20,0,18,19,19,10,0.5263157894736842,0.4736842105263158,1.1796942188476165,0.11796942188476164,0.049983703827535676,0.09635852102621308,0.06208916941303245,0.08361941532097121,0.3382695106625918,0.04122876635021322,exploratory_runner,clause:71 -> clause:72 -> clause:30 -> variable:15 -> clause:84 -> clause:130 -> clause:43 -> clause:63 -> clause:19 -> clause:90
21,0,24,25,25,5,0.2,0.8,1.9944734630661765,0.3988946926132353,0.2281199262358035,0.03977472091807247,0.07977893852264706,0.16866298046205722,0.32347416658192196,0.11480521517935896,diffuse_runner,variable:19 -> clause:19 -> clause:24 -> clause:72 -> clause:30
22,0,25,26,26,8,0.3076923076923077,0.6923076923076923,1.634079135539385,0.20425989194242314,0.11742539577033305,0.05270439713052299,0.06284919752074558,0.13009618534401007,0.319476093362486,0.03615683374420875,exploratory_runner,clause:54 -> variable:30 -> clause:72 -> clause:30 -> variable:15 -> clause:78 -> clause:70 -> clause:73
23,0,25,26,26,11,0.4230769230769231,0.5769230769230769,1.3567060491571004,0.1233369135597364,0.06334333966075512,0.07763796652883177,0.052181001890657705,0.09784709677241929,0.3466656110870019,0.029351383631401086,exploratory_runner,clause:113 -> clause:75 -> clause:124 -> clause:17 -> clause:29 -> variable:27 -> variable:31 -> variable:20 -> variable:17 -> clause:70 -> clause:41
24,0,26,27,27,10,0.37037037037037035,0.6296296296296297,2.3127185024331807,0.23127185024331806,0.11826438603601933,0.090521714097677,0.08565624083085854,0.18573418570632347,0.4009576305041346,0.10956223169123006,exploratory_runner,variable:9 -> variable:13 -> clause:102 -> clause:135 -> clause:132 -> variable:23 -> clause:130 -> clause:25 -> clause:63 -> clause:73
25,0,27,28,27,6,0.2222222222222222,0.7777777777777778,1.4308056916199887,0.23846761526999813,0.14976153561853928,0.035405885817410186,0.05299280339333291,0.11146118134329264,0.3011281634737294,0.029098588256908704,diffuse_runner,clause:48 -> clause:70 -> clause:24 -> clause:111 -> clause:22 -> clause:41 -> clause:111 -> clause:24
26,0,32,33,33,4,0.12121212121212122,0.8787878787878788,2.0818481851640387,0.5204620462910097,0.3008136498805676,0.021026266880548615,0.06308630864133451,0.10735885335393973,0.3118225618893625,0.05629939255669906,diffuse_runner,clause:79 -> variable:27 -> clause:90 -> clause:19
27,0,32,33,32,13,0.40625,0.59375,2.0789272243295063,0.1599174787945774,0.08186013640639023,0.09191909185036509,0.06496647576029707,0.12253414175012152,0.4391305521632374,0.015250826490551367,exploratory_runner,clause:121 -> variable:20 -> clause:30 -> variable:15 -> clause:78 -> clause:84 -> ...:-1 -> clause:43 -> clause:63 -> variable:5 -> variable:13 -> variable:4 -> variable:11
28,0,32,33,30,12,0.4,0.6,2.2816476524110896,0.1901373043675908,0.0958564883244081,0.08533267207678855,0.07605492174703632,0.1527016831204892,0.35316492915911407,0.10405680909459002,exploratory_runner,variable:28 -> variable:13 -> clause:102 -> clause:135 -> clause:132 -> variable:23 -> clause:130 -> clause:43 -> clause:63 -> clause:19 -> variable:19 -> clause:82
29,0,35,36,36,6,0.16666666666666666,0.8333333333333334,2.7905562161280404,0.46509270268800673,0.26454111165042143,0.03436354694845414,0.07751545044800112,0.17454081123672732,0.3353399689607961,0.11484255017280405,diffuse_runner,variable:1 -> clause:72 -> clause:30 -> variable:15 -> clause:78 -> clause:70
30,0,36,37,30,10,0.3333333333333333,0.6666666666666667,1.8310526261957136,0.18310526261957136,0.10317778048711633,0.062066091153583,0.06103508753985712,0.11436707765781798,0.345438399420072,0.03902019512984628,exploratory_runner,clause:27 -> clause:130 -> clause:43 -> clause:63 -> clause:19 -> variable:5 -> clause:114 -> clause:58 -> clause:42 -> clause:54
31,0,38,39,39,6,0.15384615384615385,0.8461538461538461,3.162566533835807,0.5270944223059678,0.2920598531470986,0.02554855675028438,0.08109144958553352,0.15119728309949204,0.32012512555568906,0.018752217866634266,diffuse_runner,clause:100 -> variable:13 -> clause:29 -> variable:27 -> variable:23 -> clause:114
