runner_id,birth_t,death_t,lifetime,path_length,unique_nodes,path_novelty,revisit_rate,runner_mass,mass_density,loop_score,escape_score,mean_intensity,peak_intensity,bridge_score,collapse_contribution,classification,path
1,0,6,7,7,3,0.42857142857142855,0.5714285714285714,0.3402956293909821,0.11343187646366071,0.05821480100602035,0.042832249834914515,0.04861366134156887,0.05947859219163738,0.17288167682802175,0.07809432506191427,diffuse_runner,variable:9 -> clause:99 -> clause:39
2,0,6,7,7,3,0.42857142857142855,0.5714285714285714,0.3248719251721646,0.10829064172405488,0.05583406046197317,0.04233536961907424,0.046410275024594945,0.05263675179782164,0.1599512854526537,0.11757883865468101,diffuse_runner,variable:8 -> variable:15 -> clause:69
3,0,6,7,5,3,0.6,0.4,0.2264576055341904,0.0754858685113968,0.028075075915550026,0.06990628593578191,0.04529152110683808,0.05132851933222788,0.19174331239596487,0.10763775854165542,diffuse_runner,variable:15 -> clause:69 -> clause:38
4,0,7,8,6,3,0.5,0.5,0.2522195923441979,0.08407319744806596,0.038776531716666486,0.03977788780859706,0.04203659872403298,0.04739232527049267,0.1508209111736291,0.02748504831407203,diffuse_runner,clause:8 -> clause:99 -> clause:106
5,0,8,9,8,4,0.5,0.5,0.36253984019893276,0.09063496004973319,0.04155146468328882,0.04726391645008394,0.045317480024866595,0.05534961303236442,0.17921762441429184,0.027447192814311596,diffuse_runner,clause:55 -> clause:111 -> clause:60 -> clause:106
6,0,9,10,10,4,0.4,0.6,0.49025609533131465,0.12256402383282866,0.06550932752023458,0.046861699479855294,0.04902560953313147,0.055686989592190775,0.1968683143947845,0.09508940816502418,diffuse_runner,variable:4 -> clause:20 -> clause:67 -> clause:14
7,0,10,11,9,3,0.3333333333333333,0.6666666666666667,0.3897272259784489,0.12990907532614962,0.0766486898004905,0.028804030166740872,0.043303025108716545,0.04714757737900345,0.1661384537850284,0.020120950517776317,diffuse_runner,clause:122 -> clause:97 -> clause:16
8,0,17,18,16,7,0.4375,0.5625,0.7900126684045585,0.11285895262922264,0.05704510953877258,0.06587946782901323,0.04937579177528491,0.06215232383231844,0.283090181207012,0.03192110058354938,exploratory_runner,clause:81 -> clause:67 -> clause:83 -> clause:112 -> clause:16 -> clause:92 -> clause:131
9,13,17,5,5,3,0.6,0.4,0.21612516085065195,0.07204172028355064,0.026880192783727077,0.04283563727777508,0.04322503217013039,0.04741504348187714,0.13988740708338657,0.01035851106836775,diffuse_runner,clause:36 -> clause:45 -> clause:50
10,0,18,19,16,6,0.375,0.625,0.7831316858682055,0.1305219476447009,0.07215801289651366,0.0523709366803236,0.04894573036676284,0.07967346015460255,0.2617970289510253,0.033450787073886955,exploratory_runner,clause:116 -> clause:102 -> clause:108 -> clause:24 -> clause:106 -> clause:50
11,12,18,7,6,3,0.5,0.5,0.2454478514630346,0.0818159504876782,0.03781417275775788,0.03966265052197451,0.0409079752438391,0.04282723449381909,0.15116428232927862,0.024762197932154756,diffuse_runner,clause:42 -> clause:107 -> clause:90
12,0,20,21,17,6,0.35294117647058826,0.6470588235294117,0.8745065161653688,0.14575108602756146,0.08231240397956677,0.049439717289803224,0.05144155977443346,0.07591536945728974,0.26259905185479926,0.03343375765587597,exploratory_runner,clause:3 -> clause:26 -> clause:11 -> variable:14 -> clause:85 -> clause:16
13,0,21,22,22,6,0.2727272727272727,0.7272727272727273,1.373337312082658,0.22888955201377634,0.13545979658180524,0.05411010313623479,0.06242442327648445,0.10406818248004095,0.3248562738715278,0.1107430499495019,diffuse_runner,variable:6 -> clause:135 -> clause:27 -> clause:26 -> clause:11 -> clause:92
14,0,22,23,23,3,0.13043478260869565,0.8695652173913043,1.5584597592151301,0.5194865864050434,0.29728953876974407,0.01818494652799969,0.06775911996587522,0.11514688545323698,0.2557724553172061,0.04508576073379918,diffuse_runner,clause:28 -> clause:14 -> clause:11
15,0,27,28,24,5,0.20833333333333334,0.7916666666666666,1.2076687838650153,0.24153375677300307,0.15401451879082623,0.03045065957352894,0.050319532661042304,0.06345580234268913,0.26919478185491513,0.04296433588268741,diffuse_runner,clause:35 -> clause:43 -> clause:77 -> clause:45 -> clause:0 -> clause:45
