sprite_id,kind,component_id,birth_t,death_t,lifetime,peak_intensity,mean_intensity,mean_influence,mean_entropy,signed_motion,spin_displacement,bridge_score,collapse_contribution,classification
22,clause,3,130,133,4,0.005134047545904386,0.0050672421789951785,0.015263430053834234,0.19776884748650791,0.0004553071222068508,0.002488104791574741,0.023181163686873618,0.0013306306727303232,hotspot
23,clause,4,3,16,14,0.03305102526183205,0.029202263113282934,0.15192645394293822,0.5507990348255424,-0.007328847231888702,-0.14647844868808674,0.10558689688594175,0.015470952334386348,hotspot
24,clause,4,61,71,11,0.026582073795883843,0.0250040887717606,0.1124944719617096,0.5137946643057681,0.0025123062627341736,0.013086183200429743,0.05917493169674819,0.008813864657080657,hotspot
25,clause,4,200,223,24,0.02556686069830611,0.024344850032068602,0.11453105748122487,0.5071051589628832,-0.0001638181952113571,-0.007208490017492047,0.08895790601229368,0.0067149873824547115,hotspot
26,clause,5,0,21,22,0.033573878059599396,0.02126010946736877,0.18387331334821108,0.45966114869633956,-0.05300922340582548,0.022626877715609478,0.08922566205509799,0.06515552806109459,hotspot
27,clause,5,181,187,7,0.013155642791824403,0.012334717193779729,0.06717589836820707,0.3517806976038525,-0.0025751307361479084,-0.00678783906348204,0.03825716212776924,0.007021530642184538,hotspot
28,clause,5,201,229,29,0.014761915926915937,0.01317312256933979,0.0678457400982478,0.36542282635059997,-2.110328969448516e-06,-0.021107157851203463,0.10231676641231664,0.0032537701912843824,hotspot
29,clause,6,0,14,15,0.024145406009859528,0.007044329471810589,0.028813817108226333,0.20363075148908336,-0.10443030447320338,0.4983526190583558,0.18023991289594546,0.12482900818715562,hotspot
30,clause,6,42,54,13,0.001173356521120031,0.001056974505805127,0.0004575643516141366,0.05944559919230768,0.00010083513407111236,-0.002063085265898934,0.05850215024291839,0.0002669040526854869,hotspot
31,clause,6,60,82,23,0.00154201858700952,0.0012063252226082895,0.0005426061611501976,0.06609442869221344,-6.297731298426403e-05,0.00231273349696437,0.08444395262220183,0.00048335360678435676,hotspot
32,clause,6,86,89,4,0.0010997440843802863,0.0010710223547081507,0.0004056733047218417,0.060095050888753575,8.35813883560705e-06,0.00024203442042081136,0.02230691377109956,0.0002674691232668247,hotspot
33,clause,7,102,132,31,0.15835262883738277,0.11624328414014251,0.5334088093692807,0.870335568642249,-0.005597603667625545,-0.010197543830809813,0.1019458096963081,0.029633101050132962,standing_wave
34,clause,7,137,141,5,0.09033747289011848,0.08761683640694266,0.3980114099687828,0.8200598358506127,-0.0019465011365581986,0.01337703691181169,0.03164718591024192,0.021367151431603566,hotspot
35,clause,7,164,174,11,0.0976072353618242,0.08937952259135597,0.40885004691778204,0.8235927190555169,0.00020104843704038533,0.004109402200220408,0.053062756937407744,0.02087522579047109,hotspot
36,clause,7,189,197,9,0.093167694820197,0.08765541701237749,0.4027724123192512,0.8195421820075389,-0.00011795889211199673,0.008418681110792664,0.04686303029569791,0.020254983327086615,hotspot
37,clause,8,11,19,9,0.0258933035844069,0.024910567269337096,0.18352653832203375,0.5096971877931687,-0.006224839032256638,-0.08280040559895983,0.07066650543015165,0.013381293027155178,hotspot
38,clause,8,21,26,6,0.02788006157845882,0.02605256390462664,0.18680309949112797,0.5205020513462605,-0.0003922818711363657,-0.005417754222339227,0.03346494348282764,0.006819908218984731,hotspot
39,clause,8,42,58,17,0.02769321456855761,0.025558306189600352,0.1481517273243177,0.51758430400632,-0.0027347749362854057,0.02519402667745957,0.08242341941334413,0.012937736345355118,hotspot
40,clause,8,90,98,9,0.02650459129905614,0.024835370924378816,0.1475763194943339,0.5105825897514052,0.0022851868932043523,0.0007160450614490665,0.05244641970270421,0.012508915003220367,hotspot
41,clause,8,117,121,5,0.0244442925199075,0.024277932837913373,0.1464521087597801,0.5051056968717156,-0.001238900887556585,0.0009861632214884508,0.027371844108623974,0.00740430189807773,hotspot
42,clause,9,0,24,25,0.044899789811181645,0.02288051796507757,0.09982279726363417,0.4798043501156551,-0.09299680303301461,0.06569540919521527,0.1092952504547817,0.08918626826492994,hotspot
43,clause,9,50,72,23,0.018350358338169774,0.016715794033134987,0.05610438151388069,0.41880959386074224,0.0005609471216987683,-0.040780102803758086,0.0973501499999434,0.004110242540549688,hotspot
44,clause,9,82,90,9,0.01716121934044274,0.01591867388363498,0.049248772472161896,0.40792907193479605,0.0015369715383856258,-0.009709750555255739,0.049548917440498844,0.0056912237555510475,hotspot
45,clause,10,0,7,8,0.01310485234018487,0.008865435888079497,0.14523002097265708,0.2775413206322331,-0.043538138218460254,0.171775636728546,0.09130800724176422,0.0670906142320482,hotspot
46,clause,10,16,30,15,0.0043515339116017605,0.003986144363185487,0.029981530530139487,0.16639443285591382,0.00013132496516297248,-0.0927886403846909,0.09354827343939823,0.000992579525515724,hotspot
47,clause,10,70,85,16,0.004603588288936703,0.004161766174644202,0.03133547634277391,0.17164501929326073,-0.00020641720075715436,-0.042709004027281505,0.08100254690920212,0.0014805286716201356,hotspot
48,clause,10,159,174,16,0.0042262317856761105,0.004022479319445615,0.028737551333890037,0.16752602375683398,-0.0003599960699617599,-0.003723599641477643,0.06796509172609806,0.001774944056467851,hotspot
49,clause,11,13,19,7,0.022429178513597523,0.021763414723798346,0.10512296191570435,0.4799118020350855,0.0006355880293859167,-0.05512287873622029,0.055126885202293925,0.006059472768603194,hotspot
50,clause,11,22,25,4,0.023632037115359675,0.023176605482802343,0.1083027870002268,0.4952328467840827,0.0033761742597591543,-0.01710376864215231,0.028107874413586264,0.005662904467959881,hotspot
51,clause,11,41,53,13,0.023713617789267054,0.022647954214612756,0.08817430887379346,0.4903647813274909,-0.0011526907020575489,0.03822020259819624,0.07423370964609019,0.009751142215256234,hotspot
52,clause,11,94,98,5,0.02307515931545157,0.022226017344701247,0.10461965139198752,0.4850548270838336,-2.2937297799882628e-05,0.0034056285485787735,0.030008777528332864,0.006859522185913484,hotspot
53,clause,11,171,174,4,0.022201806479226406,0.02188724015524223,0.07587221588949963,0.4825561956042255,-0.0009987450039025264,0.015242302739581062,0.02747693426924554,0.006595736082744912,hotspot
