t,H,F,I,unsatisfied_clauses,assignment_entropy
37,0.011650698589695108,0.16499739312811262,0.7853429674849363,4,0.8609438596824984
38,0.011682929751151257,0.16630983500591542,0.781974977896026,4,0.8598394149619978
39,0.01164360077436804,0.16776747987846455,0.7808554547243188,4,0.859016452022595
40,0.011645976177139875,0.1693635929184854,0.7792426496666625,4,0.8587204859750623
41,0.011589546726074786,0.1714125618579551,0.7791220993164089,4,0.858333611892612
42,0.011558985367366827,0.17360717706006312,0.7779549714036584,4,0.8575235870686619
43,0.011513093308777922,0.1761546538064249,0.7745820905721316,3,0.8571708715238063
44,0.011486577622368412,0.17898962277243868,0.769278713294538,3,0.8559166456837807
45,0.011508269211652624,0.18073572211612007,0.7643740955373388,3,0.8549169178267338
46,0.011452614956825993,0.18209735146434697,0.7628159802174583,3,0.8534631681878777
47,0.011394017734387418,0.18228959337768266,0.7643012829432303,4,0.8525212565888435
48,0.011337809714347401,0.18048939234690736,0.7677898705512154,4,0.8529763088030645
49,0.011326933208933005,0.17900574033547187,0.7696509448681621,3,0.8538139985925571
50,0.011296733262364264,0.17742074552622208,0.774218076878532,3,0.85424186977349
51,0.011333372394030119,0.1770076272257506,0.7781584669254795,3,0.8545839284644791
52,0.01137645574525981,0.17716544999300102,0.7801523139736015,3,0.85469399061107
53,0.011364338368069512,0.1759452879106184,0.7848096817187603,3,0.8558393233684904
54,0.011355455040077437,0.1759041652847142,0.7852436911880187,3,0.8563072142019638
55,0.01139649754489022,0.17660546382431652,0.7834440531946172,3,0.8559607389637417
56,0.011345752545000767,0.17606600170309397,0.7872028809792585,3,0.8566104809960086
57,0.011316556678383098,0.17910122029424527,0.7849350830636161,3,0.8541814179056441
58,0.011350616486744014,0.18136020884807252,0.7839888394450827,3,0.8525679142561037
59,0.011363079184600614,0.18101226366774553,0.7884650491821119,3,0.8529176336982457
60,0.01132735907086467,0.17999326728127907,0.7941334792034767,3,0.8534782777840961
61,0.011303639350229825,0.1818416338233614,0.7939512938316817,3,0.8522725805000968
62,0.01134764837075688,0.1811585700564479,0.7898807490167874,3,0.8530729634989179
63,0.011332972280490216,0.181740787945072,0.7870925262517122,3,0.8524580532481842
64,0.011345085966450053,0.18342778023463077,0.7820349860031917,3,0.8510751356325409
65,0.011339330040515993,0.18604790561299753,0.7783427839517447,3,0.8483607922625079
66,0.011309191488181627,0.18831616003880336,0.7800451117363966,3,0.8458667294548767
67,0.011277290894093447,0.19038099235481337,0.7823731367387557,3,0.8437702216216418
68,0.01118063491293346,0.19165320909907946,0.7843539217672347,3,0.8419339173028686
