runner_id,birth_t,death_t,lifetime,path_length,unique_nodes,path_novelty,revisit_rate,runner_mass,mass_density,loop_score,escape_score,mean_intensity,peak_intensity,bridge_score,collapse_contribution,classification,path
1,0,3,4,4,3,0.75,0.25,0.18459203556087095,0.061530678520290316,0.01449102691173758,0.10089880855431581,0.04614800889021774,0.053352650661079776,0.22496166300509615,0.09802076025744946,diffuse_runner,clause:129 -> clause:102 -> variable:13
2,0,4,5,5,3,0.6,0.4,0.24405128359084188,0.08135042786361396,0.030092160974804494,0.07397981328540983,0.048810256718168375,0.05269069512538385,0.2137595977636408,0.0768147493678944,diffuse_runner,variable:22 -> clause:124 -> variable:13
3,0,4,5,5,4,0.8,0.19999999999999996,0.2371283626675958,0.05928209066689895,0.011192880761266592,0.08396151185944319,0.04742567253351916,0.06781143308814899,0.19092707865166983,0.0496962011123616,diffuse_runner,clause:20 -> variable:30 -> clause:19 -> clause:135
4,0,4,5,4,3,0.75,0.25,0.1741083584237588,0.05803611947458626,0.013713170657965491,0.06876413336118313,0.0435270896059397,0.04643960580024359,0.14976858809365157,0.1121811810825942,diffuse_runner,variable:30 -> clause:14 -> clause:82
5,0,5,6,6,3,0.5,0.5,0.33282678915343555,0.11094226305114518,0.04993160614236064,0.0403598438759661,0.05547113152557259,0.06941868104523781,0.15730571160832202,0.01313895043377333,diffuse_runner,clause:89 -> clause:102 -> clause:82
6,0,5,6,5,3,0.6,0.4,0.2366577065032054,0.07888590216773513,0.029247171367884156,0.05486436863562924,0.04733154130064108,0.05238902556418911,0.16264624035022812,0.06220552160206846,diffuse_runner,variable:20 -> clause:30 -> variable:15
7,0,5,6,4,3,0.75,0.25,0.17511178340970965,0.05837059446990322,0.01378784396857199,0.05489836053493616,0.04377794585242741,0.04979755171769955,0.14188513660687446,0.01589486959013185,diffuse_runner,clause:12 -> clause:42 -> clause:80
8,0,5,6,6,4,0.6666666666666666,0.33333333333333337,0.2637166833857892,0.0659291708464473,0.02061712061477574,0.0885944052092777,0.043952780564298195,0.04972491479717239,0.22201020367849622,0.098583333612735,diffuse_runner,variable:12 -> clause:84 -> variable:15 -> clause:51
9,0,9,10,8,4,0.5,0.5,0.35278612087788574,0.08819653021947144,0.04052417360753927,0.05689439903713586,0.04409826510973572,0.05019473639665439,0.18863917039174483,0.10320874947640947,diffuse_runner,variable:27 -> clause:90 -> clause:72 -> clause:63
10,0,11,12,11,4,0.36363636363636365,0.6363636363636364,0.5470153418016847,0.13675383545042116,0.07655586046861411,0.039123897602004507,0.049728667436516785,0.056716600818461665,0.20104297064145527,0.0351627966012907,diffuse_runner,clause:75 -> variable:22 -> clause:124 -> clause:105
11,0,11,12,11,5,0.45454545454545453,0.5454545454545454,0.5412342914349098,0.10824685828698195,0.053276704952786684,0.06254922417465872,0.04920311740317362,0.06327347770001007,0.2689111966119963,0.011723925660112796,exploratory_runner,variable:8 -> clause:84 -> variable:15 -> clause:120 -> variable:11
12,0,11,12,11,5,0.45454545454545453,0.5454545454545454,0.510443860385765,0.10208877207715299,0.05052658749476661,0.05262660063852277,0.046403987307796817,0.06779235291439392,0.2258101997791948,0.012724941202666784,diffuse_runner,clause:25 -> variable:30 -> clause:24 -> clause:111 -> clause:63
13,0,12,13,13,5,0.38461538461538464,0.6153846153846154,0.6897584731849907,0.13795169463699813,0.07460189298538339,0.05274278861653318,0.053058344091153134,0.07134787199948539,0.26752292947824124,0.01259624986328402,exploratory_runner,clause:48 -> clause:78 -> variable:15 -> clause:120 -> variable:11
14,0,13,14,14,6,0.42857142857142855,0.5714285714285714,0.7667086657158618,0.1277847776193103,0.06474628348811462,0.05542428027555202,0.05476490469399013,0.07328096358161768,0.2521018955231071,0.012980358099295737,exploratory_runner,clause:113 -> clause:75 -> clause:42 -> clause:84 -> variable:15 -> clause:120
15,0,15,16,15,7,0.4666666666666667,0.5333333333333333,0.696491410868627,0.09949877298123243,0.04826382126172968,0.08325576016188999,0.04643276072457513,0.07313042446884709,0.3087310327623683,0.07786610808323378,exploratory_runner,variable:28 -> clause:89 -> clause:102 -> clause:82 -> clause:130 -> variable:23 -> variable:17
16,0,16,17,17,5,0.29411764705882354,0.7058823529411764,0.8528506515143485,0.1705701303028697,0.10285795084188604,0.03986683925327372,0.05016768538319697,0.07474453099661682,0.2457367351242387,0.0515954030747627,diffuse_runner,clause:79 -> clause:102 -> clause:17 -> clause:29 -> clause:130
17,0,16,17,17,4,0.23529411764705882,0.7647058823529411,0.8644013362190808,0.2161003340547702,0.13588779807265128,0.03883655530573321,0.05084713742465181,0.07022649156379587,0.30166848699194876,0.04714153836615795,diffuse_runner,clause:121 -> variable:20 -> clause:30 -> variable:20 -> variable:17
18,0,17,18,18,3,0.16666666666666666,0.8333333333333334,0.8801775767555777,0.2933925255851926,0.18903292425505022,0.024189634171830784,0.04889875426419876,0.07077218708332819,0.2836635355121932,0.011654784140367575,diffuse_runner,clause:109 -> variable:4 -> variable:11
19,0,17,18,18,4,0.2222222222222222,0.7777777777777778,0.9515876207243765,0.23789690518109413,0.14947200003290548,0.029070441471644618,0.05286597892913203,0.06524703107280996,0.2476002792867673,0.028339414637292545,diffuse_runner,variable:14 -> variable:13 -> clause:29 -> variable:27
20,0,17,18,17,7,0.4117647058823529,0.5882352941176471,0.8904036206689812,0.12720051723842588,0.0663802336189272,0.08356467137329542,0.0523766835687636,0.06367481564860512,0.3448280897059506,0.08853318332681032,exploratory_runner,variable:9 -> variable:13 -> clause:17 -> clause:29 -> clause:84 -> variable:15 -> clause:120
21,0,18,19,19,5,0.2631578947368421,0.736842105263158,0.9491519637004185,0.1898303927400837,0.11755879416343908,0.05234045796514668,0.04995536651054835,0.06481529091977443,0.3405923607523575,0.08396418471690777,diffuse_runner,variable:10 -> clause:41 -> variable:14 -> variable:23 -> variable:17
22,0,18,19,19,4,0.21052631578947367,0.7894736842105263,0.874216876901691,0.21855421922542276,0.14159632942826855,0.03528855720502987,0.04601141457377321,0.05668897680302459,0.2900738657194871,0.0778550449835688,diffuse_runner,variable:7 -> clause:51 -> clause:30 -> variable:20
23,9,18,10,9,4,0.4444444444444444,0.5555555555555556,0.3578676427842235,0.08946691069605588,0.04562216510442802,0.08264957736743485,0.03976307142046928,0.04317175687851046,0.29339738034499946,0.13382143650383108,exploratory_runner,variable:11 -> variable:23 -> variable:31 -> variable:19
24,0,29,30,28,3,0.10714285714285714,0.8928571428571429,1.6638427319681905,0.5546142439893968,0.3185300090944134,0.014357007341072585,0.059422954713149664,0.13373857263460223,0.24504543415172672,0.046832205412058715,diffuse_runner,clause:54 -> clause:19 -> clause:58
25,0,32,33,32,3,0.09375,0.90625,1.912621981140778,0.6375406603802594,0.3528286273731021,0.01586570263479558,0.059769436910649315,0.1118342507383338,0.3107340493940418,0.044627026770451134,reinforced_loop,clause:100 -> variable:31 -> variable:13
26,0,47,48,48,3,0.0625,0.9375,3.1247877454016217,1.0415959151338738,0.4783004135144809,0.010235750166822306,0.06509974469586711,0.10789608385680169,0.28644555656518167,0.07173867394898832,reinforced_loop,clause:61 -> clause:135 -> clause:58
27,0,62,63,63,6,0.09523809523809523,0.9047619047619048,3.1856053244602665,0.5309342207433777,0.3137751121859453,0.02171614478932257,0.05056516388032169,0.09590394631079169,0.406172350627324,0.06138612078275638,diffuse_runner,clause:64 -> clause:135 -> clause:63 -> variable:14 -> variable:31 -> variable:13
28,41,81,41,39,6,0.15384615384615385,0.8461538461538461,1.6732595990656414,0.27887659984427354,0.1845154627031827,0.024795920815174132,0.042904092283734395,0.04766953979065207,0.31152055468393686,0.017376728036952633,diffuse_runner,clause:82 -> variable:16 -> variable:8 -> variable:17 -> variable:15 -> clause:120
29,72,95,24,24,3,0.125,0.875,1.0182944569741263,0.3394314856580421,0.22173776944243928,0.018208057271901026,0.04242893570725526,0.04976047994830127,0.2806069196963005,0.0191050111410657,diffuse_runner,clause:103 -> clause:82 -> variable:19
30,85,122,38,35,3,0.08571428571428572,0.9142857142857143,1.4826701512557239,0.49422338375190794,0.3024055066624096,0.015249412269046492,0.04236200432159211,0.048233507050410906,0.3311099617996747,0.03731337117902797,diffuse_runner,variable:15 -> variable:17 -> clause:24
31,105,184,80,78,3,0.038461538461538464,0.9615384615384616,3.163681588440238,1.0545605294800793,0.4935364495550105,0.005888869184095146,0.040560020364618435,0.04412730790571844,0.29676725844603563,0.01592820443942449,reinforced_loop,variable:4 -> variable:16 -> variable:14 -> variable:4
32,113,184,72,70,3,0.04285714285714286,0.9571428571428572,2.8435795283569996,0.9478598427856665,0.4657610666676085,0.006320834424176592,0.04062256469081428,0.04559881751089735,0.28583568655310726,0.015982235607652398,reinforced_loop,variable:19 -> variable:8 -> variable:16 -> variable:19
33,64,185,122,119,3,0.025210084033613446,0.9747899159663865,4.902500056281556,1.6341666854271855,0.6047336392094341,0.005995998909969577,0.04119747946455089,0.046017916371458474,0.440966646353215,0.0393634463340989,reinforced_loop,variable:16 -> variable:4 -> variable:15
34,0,190,191,191,10,0.05235602094240838,0.9476439790575917,13.850674192571226,1.3850674192571226,0.5503202089174777,0.015193264062904246,0.07251661880927343,0.12867235548568032,0.4715764997439022,0.1153643019935568,reinforced_loop,variable:19 -> clause:82 -> clause:102 -> variable:13 -> clause:29 -> variable:27 -> variable:14 -> clause:63 -> clause:7 -> clause:71
35,0,214,215,213,8,0.03755868544600939,0.9624413145539906,9.304684152843729,1.163085519105466,0.5175022189642778,0.009889282597317596,0.04368396315889075,0.07464989813289039,0.47098326119217515,0.059047785450162565,reinforced_loop,clause:40 -> variable:8 -> variable:4 -> variable:17 -> variable:15 -> variable:17 -> ...:-1 -> variable:19 -> variable:13 -> variable:19 -> variable:8 -> variable:15 -> variable:4
36,251,274,24,23,3,0.13043478260869565,0.8695652173913043,0.8956468348718967,0.2985489449572989,0.19992144249308602,0.019855412136331716,0.038941166733560725,0.04166997969607687,0.29884898520550995,0.009370397473033065,diffuse_runner,clause:54 -> clause:63 -> variable:14
37,226,304,79,79,4,0.05063291139240506,0.9493670886075949,4.866528317168828,1.216632079292207,0.5210745011833718,0.008385051492160827,0.06160162426795985,0.07910895092211948,0.3149705057320371,0.025778648973137495,reinforced_loop,clause:72 -> clause:54 -> clause:42 -> clause:44
38,0,314,315,313,9,0.02875399361022364,0.9712460063897763,18.00459893604744,2.00051099289416,0.647552472625064,0.007887170620205726,0.05752268030686083,0.10547449190310365,0.44020482892094326,0.1231150798534151,reinforced_loop,variable:17 -> clause:78 -> variable:15 -> clause:120 -> variable:15 -> variable:14 -> clause:63 -> clause:7 -> clause:54 -> clause:42
39,0,315,316,316,7,0.022151898734177215,0.9778481012658228,17.095088917539933,2.442155559648562,0.6937679415168371,0.005531226302041078,0.054098382650442825,0.1290248445842016,0.4026983529787103,0.12005557492571901,reinforced_loop,variable:16 -> clause:82 -> variable:19 -> clause:19 -> variable:19 -> clause:19 -> clause:63 -> clause:72 -> clause:44
40,0,319,320,318,6,0.018867924528301886,0.9811320754716981,17.749774249357255,2.9582957082262094,0.733264774038738,0.004970088951036207,0.05581690015521149,0.2097955688212093,0.45135512246855153,0.08360856295205239,reinforced_loop,clause:28 -> clause:24 -> variable:17 -> variable:4 -> clause:38 -> variable:4 -> variable:31
41,0,319,320,320,4,0.0125,0.9875,14.39981878383263,3.5999546959581576,0.7728239726757121,0.00330114836503169,0.04499943369947697,0.09262176933476363,0.45883201728484413,0.07557419546549705,reinforced_loop,clause:38 -> variable:4 -> variable:31 -> variable:16
42,0,319,320,318,6,0.018867924528301886,0.9811320754716981,14.284677384197298,2.380779564032883,0.6909232473334566,0.004973602507332388,0.044920369132695905,0.08400920803233405,0.4568732374908263,0.07696733198102784,reinforced_loop,clause:32 -> clause:80 -> variable:8 -> variable:15 -> clause:120 -> variable:15 -> variable:8 -> variable:13 -> variable:8 -> variable:15
43,0,319,320,320,8,0.025,0.975,21.712718562857848,2.714089820357231,0.7124861548431207,0.007562312291960754,0.06785224550893078,0.1787366560662002,0.4863032755479764,0.12202437632684135,reinforced_loop,variable:1 -> clause:72 -> clause:63 -> clause:19 -> clause:26 -> clause:7 -> clause:24 -> variable:17
