sprite_id,kind,component_id,birth_t,death_t,lifetime,peak_intensity,mean_intensity,mean_influence,mean_entropy,signed_motion,spin_displacement,bridge_score,collapse_contribution,classification
20,clause,3,40,53,14,0.018633712570497497,0.01200605162829286,0.047037102054768014,0.3385116996973035,0.000405853310178686,-0.04480970040576357,0.07588033237999177,0.0029659041092134327,hotspot
21,clause,3,69,74,6,0.008162794374185826,0.0075549564262707624,0.02638778304569102,0.259278234103619,-0.00488684562768258,0.013624125307066151,0.03628329855582852,0.010574087081649482,hotspot
22,clause,3,79,83,5,0.007676085916230033,0.0071646320472376485,0.016101584997223282,0.2505683191305945,0.002410171785027247,-0.009951566502900494,0.03047575505670445,0.0017784163132978283,hotspot
23,clause,3,86,89,4,0.006750387771961295,0.006593573555937874,0.012141940872890144,0.237202314978085,3.0003930159949732e-05,0.006716627879424064,0.024571318538333036,0.0016484541765943274,hotspot
24,clause,3,131,141,11,0.00826965993339409,0.007338391070229042,0.01504856847775003,0.254602188159061,-0.0017258978795708022,0.02543847554557868,0.05984538517143405,0.004968617206504666,hotspot
25,clause,3,143,149,7,0.006804014197567942,0.006668335297747704,0.014990341138768537,0.23897849329030513,0.0008741321220675224,-0.017588563497946574,0.04286152066742821,0.002367311727377472,hotspot
26,clause,4,2,18,17,0.031162194467307898,0.027941798467759245,0.13645561822764818,0.5399902439570125,-0.006618816993202964,-0.19989688809012823,0.12769602435916522,0.014743890518018221,hotspot
27,clause,4,39,43,5,0.024175893028760997,0.022925592961610182,0.09452635196614721,0.493064443125406,-0.0047943239419054595,0.001984962174181315,0.027720387493691087,0.011403226553625277,hotspot
28,clause,4,62,77,16,0.031421076782964436,0.026462939386367977,0.11715106555592526,0.5267660836068541,0.005390413116628134,0.019055580877918657,0.07807501177059313,0.01022798089360522,hotspot
29,clause,4,211,220,10,0.023187628524396736,0.02236990434617286,0.10244445262559906,0.48672234937032555,-0.0011587666813281383,0.001978601493139137,0.049811894119186566,0.008082904837984736,hotspot
30,clause,4,249,258,10,0.022621830024611163,0.021861920657085768,0.09917206678983988,0.4812447458134928,0.00020571137178235221,0.016044419778309976,0.05314591909542829,0.005348550575949621,hotspot
31,clause,5,0,23,24,0.04030544570603767,0.02452723178460929,0.20653966187754424,0.49469331062860217,-0.04781771608748098,0.01786718195007306,0.09185802803491425,0.06016954205312137,hotspot
32,clause,5,184,189,6,0.014037823161363379,0.013674246090197314,0.08716307049760062,0.3732593020262243,-1.0047434753579498e-05,-0.020084758826031793,0.04129562121165367,0.005584934844438114,hotspot
33,clause,5,222,230,9,0.014105533803659271,0.013867275488351255,0.07131551544292605,0.37675515353634187,0.0007954424933841742,-0.013360269241203619,0.048516883044306965,0.0034194010950969345,hotspot
34,clause,5,237,242,6,0.013745216758376182,0.01347609182018829,0.06756931769249903,0.37068513114407214,-0.00021388602204115703,0.005318827024278525,0.03357208507667743,0.003751785078788808,hotspot
35,clause,5,245,257,13,0.014877524977151715,0.014075678074750832,0.07085909735150953,0.3799596255267491,-0.00029872697223946865,0.002384232863473938,0.05861027441415447,0.00391194687567655,hotspot
36,clause,6,0,7,8,0.024145406009859528,0.01064614852206695,0.04759960260696694,0.2836594777961131,-0.10240563967920807,0.4616809373216031,0.1505496582302407,0.12297993725021851,hotspot
37,clause,6,47,56,10,0.0018177939605402678,0.0015576644563432157,0.0008774076941145667,0.08105457710202219,0.0006969724816872384,-0.006996039269693055,0.05009320269283659,0.0004219071883999808,hotspot
