sprite_id,kind,component_id,birth_t,death_t,lifetime,peak_intensity,mean_intensity,mean_influence,mean_entropy,signed_motion,spin_displacement,bridge_score,collapse_contribution,classification
30,clause,6,29,44,16,0.09500420533700107,0.08149757311181455,1.6266573858226487,0.7352537173632451,-0.01339414638021899,-0.03391260113068112,0.2026931868078038,0.12701908506710533,hotspot
31,clause,6,49,77,29,0.09186111698837343,0.07544590584410463,1.547393006864544,0.7210078660316297,0.0011617853550323631,0.010764748209232483,0.0988095031010714,0.017538284685943373,standing_wave
32,clause,6,121,129,9,0.08352851689154159,0.07424081490019246,1.5149176287216946,0.7184295020421421,0.010155978307414743,-0.004414306481678509,0.045440656131232764,0.01727750748957769,hotspot
33,clause,7,0,11,12,0.02640656646176017,0.019442807628090978,1.0150287797526467,0.4195926399672682,-0.04687963384978676,0.07640031849325862,0.18877165168398363,0.14550803264379183,hotspot
34,clause,7,32,37,6,0.012513635319155931,0.011763862877316122,1.5714960343510118,0.3117450499404145,-0.0013229835100004445,-0.010332834825930906,0.07043668835729591,0.03251873293114278,hotspot
35,clause,7,52,71,20,0.01695302449092735,0.013036750383673554,1.5104806969973459,0.3303689219945125,-0.0014506051079909849,0.015491604794775973,0.08226242355338939,0.005597495867888446,hotspot
36,clause,7,118,130,13,0.0141244536837064,0.012535442385885708,1.5290461069433705,0.3235545365308828,0.000809056522600396,0.008488824489294056,0.060723857594534796,0.003095062617350916,hotspot
37,clause,7,196,199,4,0.011666580947293703,0.011437412081722984,1.5561763178297443,0.3071434126075809,-0.0010357994845224747,0.004306257342988409,0.026740376656712462,0.006873248047787625,hotspot
38,clause,8,0,9,10,0.04739232527049267,0.0254359195375591,0.08580434442050358,0.48991206495352985,-0.13508803929982602,0.3247213820553321,0.13341254748921055,0.12450169686478205,hotspot
39,clause,8,113,116,4,0.006296039138477694,0.006271842333975982,0.008306981294456457,0.22934349713985674,0.0003524148532857291,-0.001301902435601493,0.02274800271645526,0.0016131822882056784,hotspot
40,clause,8,198,202,5,0.00656206248105801,0.006363118086584055,0.008528299761904851,0.23157552159333417,3.7142033404789776e-05,-0.007371560620887674,0.029595519908710937,0.0015864195621153549,hotspot
41,clause,8,212,247,36,0.007036245856083069,0.006570047900218734,0.009031417418611345,0.23662648755703478,-0.000388115657791753,0.0010675710065971289,0.10625560432113407,0.0023620489197383725,hotspot
42,clause,9,1,37,37,0.03127422391901091,0.019053248384581035,0.1708280011526271,0.43122487866361325,2.9515825075938917e-05,-0.06625322843258323,0.1421821356074246,0.014931577039327796,hotspot
43,clause,9,43,46,4,0.00914644734727007,0.008866982441280856,0.06580359259225427,0.2872060789266911,0.0009431059842761672,-0.014195519812797763,0.028452057213826744,0.003232442232720881,hotspot
44,clause,9,63,69,7,0.009329205118101924,0.008936903875581792,0.051509133969215304,0.2889160947657018,0.0007769002477222425,-0.0063831537160250335,0.039177098170914304,0.003038669164061652,hotspot
45,clause,9,109,113,5,0.008876377496974883,0.008710109719431853,0.06274347694996321,0.2840346434596111,0.00021905363386038462,0.0048426633575761185,0.02871379077319223,0.0021587247008594303,hotspot
